name,month,day,hour,lat,long,status,wind,pressure,ts_diameter,hu_diameter
Edouard,9,11,12,15.8,-36.5,tropical depression,30,1008,0,0
Edouard,9,11,18,16.5,-37.7,tropical depression,30,1007,0,0
Edouard,9,12,0,17.2,-39.2,tropical storm,35,1006,46.0312,0
Edouard,9,12,6,17.7,-40.8,tropical storm,35,1005,69.04679999999999,0
Edouard,9,12,12,18.3,-42.3,tropical storm,40,1000,69.04679999999999,0
Edouard,9,12,18,18.9,-43.6,tropical storm,40,999,69.04679999999999,0
Edouard,9,13,0,19.6,-44.8,tropical storm,40,998,69.04679999999999,0
Edouard,9,13,6,20.4,-45.7,tropical storm,45,997,69.04679999999999,0
Edouard,9,13,12,21.4,-46.4,tropical storm,45,996,69.04679999999999,0
Edouard,9,13,18,22.3,-47,tropical storm,50,995,69.04679999999999,0
Edouard,9,14,0,23,-47.9,tropical storm,55,994,195.6326,0
Edouard,9,14,6,23.7,-49,tropical storm,60,991,253.17159999999998,0
Edouard,9,14,12,24.4,-50.3,hurricane,70,985,253.17159999999998,34.523399999999995
Edouard,9,14,18,25.1,-51.5,hurricane,75,980,253.17159999999998,34.523399999999995
Edouard,9,15,0,25.8,-52.7,hurricane,80,975,253.17159999999998,34.523399999999995
Edouard,9,15,6,26.5,-54,hurricane,85,970,287.695,46.0312
Edouard,9,15,12,27,-55.1,hurricane,90,966,287.695,46.0312
Edouard,9,15,18,27.7,-56.1,hurricane,95,962,322.2184,69.04679999999999
Edouard,9,16,0,28.5,-56.7,hurricane,95,960,322.2184,80.5546
Edouard,9,16,6,29.5,-57.3,hurricane,100,956,322.2184,92.0624
Edouard,9,16,12,30.6,-57.8,hurricane,105,955,322.2184,103.57019999999999
Edouard,9,16,18,31.7,-57.7,hurricane,95,958,333.72619999999995,103.57019999999999
Edouard,9,17,0,32.9,-57,hurricane,85,959,333.72619999999995,115.07799999999999
Edouard,9,17,6,34.3,-56,hurricane,85,958,333.72619999999995,115.07799999999999
Edouard,9,17,12,35.7,-54.5,hurricane,80,957,333.72619999999995,115.07799999999999
Edouard,9,17,18,37.2,-52.4,hurricane,80,955,345.234,103.57019999999999
Edouard,9,18,0,38.3,-49.5,hurricane,75,958,345.234,103.57019999999999
Edouard,9,18,6,39.3,-46.7,hurricane,70,964,356.74179999999996,92.0624
Edouard,9,18,12,39.9,-44.1,hurricane,70,969,333.72619999999995,103.57019999999999
Edouard,9,18,18,39.9,-42.1,hurricane,65,973,333.72619999999995,103.57019999999999
Edouard,9,19,0,39.9,-40.1,tropical storm,60,980,333.72619999999995,0
Edouard,9,19,6,39.9,-38.9,tropical storm,55,988,276.18719999999996,0
Edouard,9,19,12,39.5,-38.1,tropical storm,45,994,115.07799999999999,0
