name,month,day,hour,lat,long,status,wind,pressure,ts_diameter,hu_diameter
Fay,10,11,6,26,-65,tropical storm,55,994,184.1248,0
Fay,10,11,12,27.2,-65.3,tropical storm,60,990,230.15599999999998,0
Fay,10,11,18,28.7,-65.4,tropical storm,60,988,310.7106,0
Fay,10,12,0,30.2,-65.2,tropical storm,60,987,310.7106,0
Fay,10,12,6,31.7,-64.9,hurricane,65,985,310.7106,23.0156
Fay,10,12,8,32.3,-64.7,hurricane,70,984,310.7106,23.0156
Fay,10,12,12,33.1,-63.9,hurricane,70,983,310.7106,23.0156
Fay,10,12,18,33.6,-61.9,tropical storm,60,986,345.234,0
Fay,10,13,0,33.9,-59,tropical storm,50,990,345.234,0
Gonzalo,10,12,0,16.4,-55.9,tropical depression,30,1010,0,0
Gonzalo,10,12,6,16.4,-56.9,tropical depression,30,1008,0,0
Gonzalo,10,12,12,16.4,-57.9,tropical storm,35,1006,103.57019999999999,0
Gonzalo,10,12,18,16.4,-58.8,tropical storm,40,1004,103.57019999999999,0
Gonzalo,10,13,0,16.5,-59.7,tropical storm,45,1001,103.57019999999999,0
Gonzalo,10,13,6,16.7,-60.6,tropical storm,55,996,115.07799999999999,0
Gonzalo,10,13,12,17,-61.5,hurricane,65,992,149.60139999999998,17.261699999999998
Gonzalo,10,13,14,17.1,-61.8,hurricane,65,990,149.60139999999998,17.261699999999998
Gonzalo,10,13,18,17.6,-62.4,hurricane,70,988,172.617,28.769499999999997
Gonzalo,10,13,22,18.1,-63,hurricane,75,984,172.617,28.769499999999997
Gonzalo,10,13,23,18.2,-63.1,hurricane,75,984,172.617,28.769499999999997
Gonzalo,10,14,0,18.3,-63.2,hurricane,80,983,172.617,34.523399999999995
Gonzalo,10,14,6,19.1,-64,hurricane,90,976,172.617,40.2773
Gonzalo,10,14,12,19.9,-64.8,hurricane,95,973,172.617,40.2773
Gonzalo,10,14,18,20.8,-65.5,hurricane,100,968,172.617,40.2773
Gonzalo,10,15,0,21.7,-66.2,hurricane,115,956,195.6326,40.2773
Gonzalo,10,15,6,22.5,-67,hurricane,115,953,195.6326,46.0312
Gonzalo,10,15,12,23.1,-67.7,hurricane,115,949,218.64819999999997,51.78509999999999
Gonzalo,10,15,18,23.8,-68.3,hurricane,110,953,218.64819999999997,57.538999999999994
Gonzalo,10,16,0,24.4,-68.6,hurricane,110,953,230.15599999999998,69.04679999999999
Gonzalo,10,16,6,25,-68.7,hurricane,115,948,253.17159999999998,69.04679999999999
Gonzalo,10,16,12,25.6,-68.7,hurricane,125,940,276.18719999999996,86.3085
Gonzalo,10,16,18,26.5,-68.3,hurricane,125,942,276.18719999999996,86.3085
Gonzalo,10,17,0,27.4,-67.8,hurricane,120,942,299.20279999999997,97.8163
Gonzalo,10,17,6,28.6,-67.2,hurricane,115,945,299.20279999999997,97.8163
Gonzalo,10,17,12,29.8,-66.5,hurricane,110,947,299.20279999999997,115.07799999999999
Gonzalo,10,17,18,31,-65.7,hurricane,105,949,299.20279999999997,115.07799999999999
Gonzalo,10,18,0,32.2,-64.9,hurricane,95,952,299.20279999999997,115.07799999999999
Gonzalo,10,18,0,32.3,-64.8,hurricane,95,952,299.20279999999997,115.07799999999999
Gonzalo,10,18,6,33.7,-63.9,hurricane,90,955,299.20279999999997,115.07799999999999
Gonzalo,10,18,12,35.6,-62.6,hurricane,85,960,333.72619999999995,126.58579999999999
Gonzalo,10,18,18,38.2,-60.9,hurricane,85,964,391.2652,138.09359999999998
Gonzalo,10,19,0,41.2,-58.3,hurricane,85,965,414.28079999999994,138.09359999999998
Gonzalo,10,19,6,44.5,-54.8,hurricane,80,968,414.28079999999994,138.09359999999998
Gonzalo,10,19,12,47.8,-50.1,hurricane,70,970,414.28079999999994,138.09359999999998
Hanna,10,22,0,19.5,-93.3,tropical depression,30,1000,0,0
Hanna,10,22,6,19.5,-92.9,tropical depression,30,1001,0,0
Hanna,10,22,12,19.4,-92.4,tropical depression,30,1002,0,0
Hanna,10,22,18,19.3,-91.9,tropical depression,30,1003,0,0
Hanna,10,27,0,15.1,-82,tropical depression,30,1006,0,0
Hanna,10,27,6,15,-82.4,tropical storm,35,1005,80.5546,0
Hanna,10,27,12,14.9,-83,tropical storm,35,1005,80.5546,0
Hanna,10,27,16,14.9,-83.3,tropical storm,35,1005,80.5546,0
Hanna,10,27,18,14.9,-83.5,tropical depression,30,1006,0,0
Hanna,10,28,0,15,-84.3,tropical depression,30,1007,0,0
